,timestamp,lp
2023-07-10 11:53:06.467778,,625.55
2023-07-10 11:53:08.520509,,625.75
2023-07-10 11:53:10.616214,,625.55
2023-07-10 11:53:12.595989,,625.8
2023-07-10 11:53:12.769882,,625.75
2023-07-10 11:53:12.915793,,625.8
2023-07-10 11:53:13.590374,,625.75
2023-07-10 11:53:14.588302,,625.7
2023-07-10 11:53:15.790558,,625.8
2023-07-10 11:53:06.467778,,625.55
2023-07-10 11:53:08.520509,,625.75
2023-07-10 11:53:10.616214,,625.55
2023-07-10 11:53:12.595989,,625.8
2023-07-10 11:53:12.769882,,625.75
2023-07-10 11:53:12.915793,,625.8
2023-07-10 11:53:13.590374,,625.75
2023-07-10 11:53:14.588302,,625.7
2023-07-10 11:53:15.790558,,625.8
2023-07-10 11:53:06.467778,,625.55
2023-07-10 11:53:08.520509,,625.75
2023-07-10 11:53:10.616214,,625.55
2023-07-10 11:53:12.595989,,625.8
2023-07-10 11:53:12.769882,,625.75
2023-07-10 11:53:12.915793,,625.8
2023-07-10 11:53:13.590374,,625.75
2023-07-10 11:53:14.588302,,625.7
2023-07-10 11:53:15.790558,,625.8
2023-07-10 11:53:06.467778,,625.55
2023-07-10 11:53:08.520509,,625.75
2023-07-10 11:53:10.616214,,625.55
2023-07-10 11:53:12.595989,,625.8
2023-07-10 11:53:12.769882,,625.75
2023-07-10 11:53:12.915793,,625.8
2023-07-10 11:53:13.590374,,625.75
2023-07-10 11:53:14.588302,,625.7
2023-07-10 11:53:15.790558,,625.8
2023-07-10 11:53:19.540241,,625.7
2023-07-10 11:53:19.611197,,625.8
2023-07-10 11:53:22.597249,,625.75
2023-07-10 11:53:25.592854,,625.8
2023-07-10 11:53:27.603783,,625.75
2023-07-10 11:53:28.599166,,625.8
2023-07-10 11:53:29.947747,,626.2
2023-07-10 11:53:30.599344,,626.25
2023-07-10 11:53:31.597727,,626.15
2023-07-10 11:53:32.593112,,626.25
2023-07-10 11:53:33.593378,,626.1
2023-07-10 11:53:35.606642,,626.2
2023-07-10 11:53:36.344815,,626.1
2023-07-10 11:53:36.590794,,626.2
2023-07-10 11:53:37.553431,,626.15
2023-07-10 11:53:40.593429,,626.1
2023-07-10 11:53:40.945360,,626.15
2023-07-10 11:53:42.150069,,626.0
2023-07-10 11:53:42.595585,,626.2
2023-07-10 11:53:43.161075,,626.25
2023-07-10 11:53:43.596112,,626.0
2023-07-10 11:53:45.350027,,626.2
2023-07-10 11:53:46.557662,,626.15
2023-07-10 11:53:46.954164,,626.25
2023-07-10 11:53:47.598765,,626.15
2023-07-10 11:53:51.595231,,625.8
2023-07-10 11:53:53.597805,,625.95
