,timestamp,lp
2023-07-10 15:03:07.169324,,619.25
2023-07-10 15:03:08.255131,,619.35
2023-07-10 15:03:08.352072,,619.2
2023-07-10 15:03:09.262032,,619.35
2023-07-10 15:03:10.353480,,619.3
2023-07-10 15:03:10.455485,,619.35
2023-07-10 15:03:11.362816,,619.2
2023-07-10 15:03:12.659454,,619.35
2023-07-10 15:03:14.356111,,619.3
2023-07-10 15:03:15.062637,,619.1
2023-07-10 15:03:15.352561,,619.3
2023-07-10 15:03:16.263834,,619.2
2023-07-10 15:03:16.352778,,619.1
2023-07-10 15:03:17.299194,,619.35
2023-07-10 15:03:18.350543,,619.1
2023-07-10 15:03:18.673343,,619.35
2023-07-10 15:03:19.671676,,619.25
2023-07-10 15:03:20.355958,,619.1
2023-07-10 15:03:21.355798,,619.25
2023-07-10 15:03:23.271571,,619.2
2023-07-10 15:03:23.354518,,619.25
2023-07-10 15:03:24.354828,,619.1
2023-07-10 15:03:24.681489,,619.25
2023-07-10 15:03:25.360069,,619.1
2023-07-10 15:03:26.603156,,619.25
2023-07-10 15:03:26.882126,,619.15
2023-07-10 15:03:27.355833,,619.2
2023-07-10 15:03:30.356286,,619.3
2023-07-10 15:03:31.354594,,619.35
2023-07-10 15:03:31.479452,,619.4
2023-07-10 15:03:31.681378,,619.5
2023-07-10 15:03:32.695196,,619.35
2023-07-10 15:03:33.358378,,619.4
2023-07-10 15:03:34.355452,,619.5
2023-07-10 15:03:34.889279,,619.35
2023-07-10 15:03:35.360590,,619.2
2023-07-10 15:03:36.085756,,619.45
2023-07-10 15:03:37.357720,,619.35
2023-07-10 15:03:39.289401,,619.45
2023-07-10 15:03:41.694393,,619.4
2023-07-10 15:03:42.358749,,619.45
2023-07-10 15:03:43.696691,,619.35
2023-07-10 15:03:44.359804,,619.45
2023-07-10 15:03:44.897667,,619.4
2023-07-10 15:03:45.358671,,619.35
2023-07-10 15:03:45.904334,,619.45
