timestamp,Unnamed: 0,lp
,2023-07-12 13:50:59.006000,6156.0
,2023-07-12 13:51:07.869039,6158.0
,2023-07-12 13:51:19.231753,6159.0
,2023-07-12 13:51:34.658983,6157.0
2023-07-12 13:52:13.046254,,6160.0
2023-07-12 13:52:24.740362,,6162.0
2023-07-12 13:52:30.016856,,6160.0
2023-07-12 13:52:35.619409,,6161.0
2023-07-12 13:52:38.750812,,6163.0
2023-07-12 13:52:43.556103,,6161.0
2023-07-12 13:52:59.706346,,6162.0
2023-07-12 13:53:23.081829,,6165.0
2023-07-12 13:53:37.367730,,6167.0
2023-07-12 13:53:46.300064,,6165.0
2023-07-12 13:53:47.456073,,6166.0
2023-07-12 13:53:48.705439,,6165.0
2023-07-12 13:53:58.424789,,6167.0
2023-07-12 13:54:01.831979,,6166.0
2023-07-12 13:54:08.841635,,6168.0
2023-07-12 13:54:15.557964,,6166.0
2023-07-12 13:54:19.343340,,6167.0
2023-07-12 13:54:29.650756,,6170.0
2023-07-12 13:54:40.278118,,6169.0
2023-07-12 13:54:51.520026,,6168.0
2023-07-12 13:55:15.582940,,6167.0
2023-07-12 13:55:43.300723,,6163.0
2023-07-12 13:55:54.644012,,6162.0
2023-07-12 13:55:59.574385,,6164.0
2023-07-12 13:56:03.188884,,6165.0
2023-07-12 13:56:09.643880,,6166.0
2023-07-12 13:56:21.487050,,6164.0
2023-07-12 13:56:27.454062,,6162.0
2023-07-12 13:56:31.540678,,6161.0
2023-07-12 13:57:05.070097,,6164.0
2023-07-12 13:57:08.674352,,6163.0
2023-07-12 13:57:16.002034,,6165.0
2023-07-12 13:57:27.251201,,6167.0
2023-07-12 13:57:31.315481,,6166.0
2023-07-12 13:57:34.617646,,6167.0
2023-07-12 13:57:37.879478,,6170.0
2023-07-12 13:57:49.143749,,6171.0
2023-07-12 13:57:50.691163,,6170.0
2023-07-12 13:58:01.425138,,6171.0
2023-07-12 13:58:04.792052,,6169.0
2023-07-12 13:58:26.627091,,6170.0
2023-07-12 13:58:30.377146,,6171.0
2023-07-12 13:58:33.148344,,6172.0
2023-07-12 13:58:35.697767,,6173.0
2023-07-12 13:58:48.379109,,6172.0
2023-07-12 13:58:51.629492,,6173.0
2023-07-12 13:58:58.813850,,6172.0
2023-07-12 13:59:12.441980,,6171.0
2023-07-12 13:59:15.692122,,6170.0
2023-07-12 13:59:32.879145,,6169.0
2023-07-12 13:59:43.190281,,6170.0
2023-07-12 13:59:59.966293,,6169.0
2023-07-12 14:00:14.596032,,6171.0
2023-07-12 14:00:15.840313,,6174.0
2023-07-12 14:00:24.621770,,6172.0
2023-07-12 14:01:02.564399,,6171.0
2023-07-12 14:01:30.241843,,6173.0
2023-07-12 14:01:32.925182,,6170.0
2023-07-12 14:01:44.191077,,6171.0
2023-07-12 14:01:49.503365,,6172.0
2023-07-12 14:01:52.149174,,6173.0
2023-07-12 14:02:14.755811,,6174.0
2023-07-12 14:02:31.572756,,6173.0
2023-07-12 14:02:40.228887,,6174.0
2023-07-12 14:02:45.825293,,6173.0
2023-07-12 14:02:52.116113,,6177.0
2023-07-12 14:02:53.784105,,6178.0
2023-07-12 14:03:02.604787,,6180.0
2023-07-12 14:03:03.626940,,6179.0
2023-07-12 14:03:04.607414,,6180.0
2023-07-12 14:03:05.212125,,6179.0
2023-07-12 14:03:05.633061,,6180.0
2023-07-12 14:03:07.816523,,6181.0
2023-07-12 14:03:08.219354,,6180.0
2023-07-12 14:03:08.619216,,6179.0
2023-07-12 14:03:12.095010,,6180.0
2023-07-12 14:03:19.639793,,6178.0
2023-07-12 14:03:29.284418,,6176.0
2023-07-12 14:04:17.131408,,6175.0
2023-07-12 14:04:26.471698,,6174.0
2023-07-12 14:04:33.659378,,6177.0
2023-07-12 14:04:33.945199,,6176.0
2023-07-12 14:04:53.747988,,6175.0
2023-07-12 14:04:54.958059,,6177.0
2023-07-12 14:05:10.845605,,6176.0
2023-07-12 14:05:15.848479,,6177.0
2023-07-12 14:05:16.123309,,6176.0
2023-07-12 14:05:24.239532,,6177.0
2023-07-12 14:05:31.599272,,6174.0
2023-07-12 14:05:31.808142,,6176.0
2023-07-12 14:05:38.572417,,6175.0
2023-07-12 14:05:49.428240,,6176.0
2023-07-12 14:05:59.505902,,6174.0
2023-07-12 14:06:10.440056,,6172.0
2023-07-12 14:06:24.852347,,6171.0
2023-07-12 14:06:39.802517,,6172.0
2023-07-12 14:06:59.298242,,6171.0
2023-07-12 14:07:22.003932,,6170.0
2023-07-12 14:07:30.445864,,6171.0
2023-07-12 14:07:33.936873,,6172.0
2023-07-12 14:07:55.945204,,6174.0
2023-07-12 14:08:49.644634,,6175.0
2023-07-12 14:09:15.053615,,6176.0
2023-07-12 14:09:19.049868,,6177.0
2023-07-12 14:09:28.024820,,6178.0
2023-07-12 14:09:41.615395,,6179.0
2023-07-12 14:09:42.435886,,6180.0
2023-07-12 14:09:43.641025,,6179.0
2023-07-12 14:09:45.361399,,6181.0
2023-07-12 14:09:49.112919,,6179.0
2023-07-12 14:09:56.428151,,6180.0
